sector,year,quarter,sentiment_lexicon,sentiment_finbert
Industrials,2024,1,0.01044170424338418,0.35067911527332885
Tech,2024,1,0.005701044964954105,0.31883654961641245
Industrials,2024,2,0.010138136948715955,0.31939931995250553
Tech,2024,2,0.008883130610966423,0.3672560536477364
Industrials,2024,3,0.008970147023134303,0.2916754013196362
Tech,2024,3,0.007478772353630568,0.3658605121311713
Industrials,2024,4,0.008595695404192952,0.34146269529203815
Tech,2024,4,0.008258335316096752,0.3625783815657793
