sector,year,quarter,firm_count,outlook_sentence_count,sentiment_lexicon,sentiment_finbert
Industrials,2024,1,19,45.63157894736842,0.01044170424338418,0.35067911527332885
Tech,2024,1,20,42.9,0.005701044964954105,0.31883654961641245
Industrials,2024,2,19,47.78947368421053,0.010138136948715955,0.31939931995250553
Tech,2024,2,20,40.15,0.008883130610966423,0.3672560536477364
Industrials,2024,3,19,50.21052631578947,0.008970147023134303,0.2916754013196362
Tech,2024,3,20,41.4,0.007478772353630568,0.3658605121311713
Industrials,2024,4,19,54.05263157894737,0.008595695404192952,0.34146269529203815
Tech,2024,4,20,41.05,0.008258335316096752,0.3625783815657793
